# Values for variable: EMF$_{\rm min}$ (Off-line, N)
# Input file for ddmH_mS_500_m1_244_dm_90_nosmear : ../pp2chi0chi0J_scan/Events/run_01/ddmH_mS_500_m1_244_dm_90_delphes_events_nosmear.root (38862 MC events)
bin_center,bin_left_edge,bin_right_edge,normalized_count,error
-1.0000e+00,-1.1000e+00,-9.0000e-01,9.9256e-01,5.0538e-03
-4.5500e-01,-9.0000e-01,-1.0000e-02,0.0000e+00,0.0000e+00
0.0000e+00,-1.0000e-02,1.0000e-02,3.6540e-03,3.0663e-04
1.5000e-02,1.0000e-02,2.0000e-02,0.0000e+00,0.0000e+00
2.5000e-02,2.0000e-02,3.0000e-02,0.0000e+00,0.0000e+00
3.5000e-02,3.0000e-02,4.0000e-02,0.0000e+00,0.0000e+00
4.5000e-02,4.0000e-02,5.0000e-02,0.0000e+00,0.0000e+00
5.5000e-02,5.0000e-02,6.0000e-02,0.0000e+00,0.0000e+00
6.5000e-02,6.0000e-02,7.0000e-02,0.0000e+00,0.0000e+00
7.5000e-02,7.0000e-02,8.0000e-02,0.0000e+00,0.0000e+00
8.5000e-02,8.0000e-02,9.0000e-02,0.0000e+00,0.0000e+00
9.5000e-02,9.0000e-02,1.0000e-01,0.0000e+00,0.0000e+00
1.5000e-01,1.0000e-01,2.0000e-01,0.0000e+00,0.0000e+00
2.5000e-01,2.0000e-01,3.0000e-01,0.0000e+00,0.0000e+00
3.5000e-01,3.0000e-01,4.0000e-01,0.0000e+00,0.0000e+00
4.5000e-01,4.0000e-01,5.0000e-01,0.0000e+00,0.0000e+00
5.5000e-01,5.0000e-01,6.0000e-01,0.0000e+00,0.0000e+00
6.5000e-01,6.0000e-01,7.0000e-01,0.0000e+00,0.0000e+00
7.5000e-01,7.0000e-01,8.0000e-01,0.0000e+00,0.0000e+00
8.5000e-01,8.0000e-01,9.0000e-01,0.0000e+00,0.0000e+00
1.0000e+00,9.0000e-01,1.1000e+00,3.7826e-03,3.1198e-04
1.1500e+00,1.1000e+00,1.2000e+00,0.0000e+00,0.0000e+00
